Model_Name,Avg_Response_Length,Response_Count,Total_Adversarial_Count,Avg_Adversarial_Count
Anika,44.67225325884544,537,158,0.2942271880819367
Derek,27.71071071071071,999,126,0.12612612612612611
Emma,36.69179229480737,597,149,0.24958123953098826
Enrique,47.90537634408602,465,101,0.2172043010752688
George,47.84823848238482,369,103,0.2791327913279133
Maria,40.1234096692112,786,226,0.2875318066157761
Nick,40.00952380952381,420,57,0.1357142857142857
Peter,49.15419501133787,441,102,0.23129251700680273
Philip,63.42857142857143,609,181,0.29720853858784896
Sarah,53.11856823266219,447,108,0.24161073825503357
Talia,35.45014245014245,702,121,0.17236467236467237
