Model_Name,Avg_Response_Length,Response_Count,Total_Adversarial_Count,Avg_Adversarial_Count
Anika,298.5686274509804,357,855.0,0.022408963585434174
Derek,781.6180555555555,288,655.0,0.09375
Emma,789.3706467661691,402,997.0,0.05223880597014925
Enrique,265.1468253968254,252,591.0,0.031746031746031744
George,318.87820512820514,312,688.0,0.022435897435897436
Maria,345.22865013774106,363,844.0,0.01652892561983471
Peter,700.9,390,512.0,0.03333333333333333
Philip,432.75,360,941.0,0.058333333333333334
Sarah,221.56228956228955,297,666.0,0.006734006734006734
Talia,354.99645390070924,282,677.0,0.03546099290780142
