Model_Name,Avg_Response_Length,Response_Count,Total_Adversarial_Count,Avg_Adversarial_Count
Anika,92.90947075208913,2154,3727.0,0.0
Derek,686.1741803278688,1952,3746.0,0.0020491803278688526
Emma,555.3535062439962,2082,4105.0,0.0004803073967339097
Enrique,39.26907001044932,1914,3202.0,0.001567398119122257
George,49.915077202543145,2202,3683.0,0.0
Maria,27.003668763102727,1908,3155.0,0.0005241090146750524
Peter,336.46642929806717,1966,1694.0,0.003560528992878942
Philip,147.77356656948493,2058,4144.0,0.00048590864917395527
Sarah,52.35643115942029,2208,3754.0,0.0
Talia,55.880883765609994,2082,3697.0,0.0009606147934678194
